id,breed
000bec180eb18c7604dcecc8fe0dba07,Bull
001513dfcb2ffafc82cccf4d8bbaba97,Terrier
001cdf01b096e06d78e9e5112d419397,Toy
00214f311d5d2247d5dfe4fe24b2303d,Hound
0021f9ceb3235effd7fcde7f7538ed62,Retriever
002211c81b498ef88e1b40b9abf84e1d,Terrier
00290d3e1fdd27226ba27a8ce248ce85,Terrier
002a283a315af96eaea0e28e7163b21b,Hound
003df8b8a8b05244b1d920bb6cf451f9,Hound
0042188c895a2f14ef64a918ed9c7b64,Hound
004396df1acd0f1247b740ca2b14616e,Shepherd
0067dc3eab0b3c3ef0439477624d85d6,Hound
00693b8bc2470375cc744a6391d397ec,Toy
006cc3ddb9dc1bd827479569fcdc52dc,Hound
0075dc49dab4024d12fafe67074d8a81,Terrier
00792e341f3c6eb33663e415d0715370,Terrier
007b5a16db9d9ff9d7ad39982703e429,Terrier
007b8a07882822475a4ce6581e70b1f8,Hound
007ff9a78eba2aebb558afea3a51c469,Terrier
008887054b18ba3c7601792b6a453cc3,Bull
008b1271ed1addaccf93783b39deab45,Hound
008ba178d6dfc1a583617470d19c1673,Hound
009509be3ca7cce0ff9e37c8b09b1125,Hound
0097c6242c6f3071762d9f85c3ef1b2f,Terrier
00a338a92e4e7bf543340dc849230e75,Terrier
00a366d4b4a9bbb6c8a63126697b7656,Retriever
00a862390341c5be090dd72bd2bc19ef,Schnauzer
00b7d114bc5166a629a3cc03d9329120,Spaniel
00ba244566e36e0af3d979320fd3017f,Hound
00bee065dcec471f26394855c5c2f3de,Terrier
00ca18751837cd6a22813f8e221f7819,Hound
00cc68a50b2d016a6b29af628ea4e04b,Retriever
00ddcec076073cc96f82c27bf4548fbc,Hound
00e9ed3fab1d2032603d1a90e557976f,Retriever
00f34ac0a16ef43e6fd1de49a26081ce,Hound
00fa641312604199831755f96109fde7,Hound
00fda6ecca54efbac26e907be4b0b78b,Schnauzer
0100f55e4f0fe28f2c0465d3fc4b9897,Retriever
010d65bd29d246aea53d9849da142ccf,Bull
010e87fdf252645a827e37470e65e842,Shepherd
011761e3ae8ec5e188e8f0bcb59bb8b6,Terrier
011bd7fd7c036dbb243d0e37329c77b7,Spaniel
011e06760794850c40f23d6426c40774,Terrier
0120343862761d052d6a7ade81625c94,Terrier
01268f0007876a692907bda89468184c,Hound
012ff2d21dad14452ea16b4cda7eef4c,Poodle
013aed490e0e15a8989e12ae0d0ccfaa,Terrier
013c43f40f0fb13fa25ac0c2a70fd48f,Terrier
013f8fdf6d638c7bb042f5f17e8a9fdc,Terrier
0140b05bfc2fd43f2819fab3d8566109,Hound
014c2b0cd8e3b517e649cecf8543b8fe,Terrier
0159b6457aac89f43d1c1931cdf7500b,Spaniel
015b363b062f602e7ec04ce28e640d05,Hound
015b4aa50dd9b4a0d26dc0c38f41b489,Spaniel
015d86b2fcb36f0fdfbe94a66c0e3400,Terrier
0161847d5bfae154af084993fa26a1a7,Schnauzer
0162107acd8f2588c0944b791d61bb0c,Hound
0162b3e0144fb1d1ab82fbff3ace9938,Toy
01680178ca6664294efb493a46014a82,Terrier
0169294085e94d1250587b38e4fbb532,Shepherd
016bcdb05e2d0e0878877df21b8c3cff,Shepherd
0177a92a906192bfde8adbb8a237e524,Shepherd
018aae5768833c34e3df30d63429251e,Hound
0192d7174233ebdb3d720000413829ac,Terrier
019c92d1ff56deb9d75d809a92bc84d8,Shepherd
019ff93e03802e661577b5869e099dcb,Hound
01a3b064c56edbe3abf55051b16134d4,Retriever
01a41985ab8209e750588fa348d635be,Hound
01b09bdac592b0eb9909dd105314ad3a,Shepherd
01b35a06b00e4a832b935cf8d51303c1,Hound
01b36cb1b80ab8c3a7d2b7128ad21bdc,Shepherd
01b6c2bd3053535a58d8de763cf06aa0,Schnauzer
01b849a7e4fbc545f6b2806cb87ab371,Spaniel
01c230ec18eed427cf5b1db1a833024d,Retriever
01d0f3692e576b3cde511285352aed4a,Shepherd
01de1f7b7b4465a6d130a56746af66a6,Spaniel
01dffcb02d6cba7d2b101fcc93daa6f1,Shepherd
01e2245b46eb747260ff80f1c892daef,Spaniel
01e4d3d1cb704ed819bce35d22e716a7,Hound
01e787576c003930f96c966f9c3e1d44,Hound
01ee3c7ff9bcaba9874183135877670e,Shepherd
01f397f16fb2d7d76fdbce4e2207c1a3,Shepherd
01f429667104c0c5a5f321700f15435c,Husky
01f8540fb1084107a6eb3e528f82c1aa,Spaniel
0206c12e8984e3c8a166cc272de25d6f,Toy
0207803a6ce1bfad98e7f095c965e44a,Terrier
020ecfccf3c900b01ce831abbf20b485,Hound
0214e2d616ec7eb7cb0d8c19a7f29e70,Hound
021b5a49189665c0442c19b5b33e8cf1,Shepherd
0229677aec75183a16de9d6f6658fae2,Terrier
022b34fd8734b39995a9f38a4f3e7b6b,Toy
0234695e7a548e2ad1b2ac91d6486c1c,Hound
023e4e28415506e0deddcbd8f8bdab29,Bull
0246f44bb123ce3f91c939861eb97fb7,Schnauzer
024ecfa590271db8616bfaa59159d7b2,Shepherd
024fc0be976885d5cfcf6770239a9001,Retriever
024fd994941146f8dfdb38a9b2b74efd,Terrier
02508e76981e1ba059d785704b4c480c,Bull
0255a5bca3b9d91d4fdba8d7419b5e69,Terrier
025bab46ddcde249d5c52c660fea6d26,Bull
025d903b457b865fd29424916e42fbc2,Hound
0264c5fcaaba5e31082395476447b254,Shepherd
0267c5f1acbab52ae4a7927e0398612b,Terrier
0270276158566af50ef48b1284c998d6,Terrier
02777bdfcf9f1a593af768e6616df4b3,Retriever
0287b3374c33346e2b41f73af3a36261,Hound
029202b0cf0b5d6d48c6ce7b432409ef,Schnauzer
0294b42910cb8a8d8340e45d8aaf2953,Toy
0296633efc21006e3ce2af7eaeff04f7,Terrier
029ed6af5dcadfd105db9271e12ede14,Hound
02a3edc1d6aae095185131fe185478e0,Hound
02a8ed20109bd62bd5894f276c08c8a2,Hound
02ad779f2721db9364d3bb68f5580582,Hound
02b1c50fb7315423a664f3ce68c94e30,Terrier
02c48781eff39a66ae6dd8626e35809e,Retriever
02c90d8109d9a48739b9887349d92b1f,Terrier
02cc0d7c8b7b513b4325bda30dce222d,Spaniel
02d45a238621c3f2cbde5c1d173ead1e,Hound
02d54f0dfb40038765e838459ae8c956,Shepherd
02df8523833c432f90071f86dff69a8f,Hound
02dfcd0a24a9c41070f4f94b4c9933ff,Terrier
